industry_title,industry,occupation_title,occupation,occupation_based_setting
Nondepository credit and related activities,6890,Education and childcare administrators ,230,Other schools
"Securities, commodities, funds, trusts, and other financial investments",6970,Education and childcare administrators ,230,Other schools
Insurance carriers,6991,Education and childcare administrators ,230,Other schools
"Agencies, brokerages, and other insurance related activities",6992,Education and childcare administrators ,230,Other schools
Automotive equipment rental and leasing ,7080,Education and childcare administrators ,230,Other schools
Legal services ,7270,Education and childcare administrators ,230,Other schools
"Accounting, tax preparation, bookkeeping, and payroll services",7280,Education and childcare administrators ,230,Other schools
Computer systems design and related services ,7380,Education and childcare administrators ,230,Other schools
Veterinary services ,7480,Education and childcare administrators ,230,Other schools
Management of companies and enterprises ,7570,Education and childcare administrators ,230,Other schools
Investigation and security services ,7680,Education and childcare administrators ,230,Other schools
Services to buildings and dwellings (except cleaning during construction and immediately after construction) ,7690,Education and childcare administrators ,230,Other schools
Landscaping services,7770,Education and childcare administrators ,230,Other schools
Waste management and remediation services ,7790,Education and childcare administrators ,230,Other schools
"Colleges, universities, and professional schools, including junior colleges",7870,Education and childcare administrators ,230,Other schools
"Business, technical, and trade schools and training ",7880,Education and childcare administrators ,230,Other schools
Offices of physicians ,7970,Education and childcare administrators ,230,Other schools
Offices of dentists ,7980,Education and childcare administrators ,230,Other schools
Offices of chiropractors ,7990,Education and childcare administrators ,230,Other schools
Offices of optometrists ,8070,Education and childcare administrators ,230,Other schools
Offices of other health practitioners  ,8080,Education and childcare administrators ,230,Other schools
Outpatient care centers ,8090,Education and childcare administrators ,230,Other schools
Home health care services ,8170,Education and childcare administrators ,230,Other schools
Other health care services ,8180,Education and childcare administrators ,230,Other schools
"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals",8191,Education and childcare administrators ,230,Other schools
Psychiatric and substance abuse hospitals,8192,Education and childcare administrators ,230,Other schools
Nursing care facilities (skilled nursing facilities),8270,Education and childcare administrators ,230,Other schools
"Residential care facilities, except skilled nursing facilities",8290,Education and childcare administrators ,230,Other schools
Individual and family services ,8370,Education and childcare administrators ,230,Other schools
"Community food and housing, and emergency services ",8380,Education and childcare administrators ,230,Other schools
Vocational rehabilitation services ,8390,Education and childcare administrators ,230,Other schools
Traveler accommodation ,8660,Education and childcare administrators ,230,Other schools
Restaurants and other food services ,8680,Education and childcare administrators ,230,Other schools
Automotive repair and maintenance ,8770,Education and childcare administrators ,230,Other schools
Electronic and precision equipment repair and maintenance,8790,Education and childcare administrators ,230,Other schools
Commercial and industrial machinery and equipment repair and maintenance,8870,Education and childcare administrators ,230,Other schools
Drycleaning and laundry services ,9070,Education and childcare administrators ,230,Other schools
"Funeral homes, and cemeteries and crematories ",9080,Education and childcare administrators ,230,Other schools
Religious organizations ,9160,Education and childcare administrators ,230,Other schools
Private households ,9290,Education and childcare administrators ,230,Other schools
Executive offices and legislative bodies ,9370,Education and childcare administrators ,230,Other schools
Public finance activities ,9380,Education and childcare administrators ,230,Other schools
Other general government and support ,9390,Education and childcare administrators ,230,Other schools
"Justice, public order, and safety activities ",9470,Education and childcare administrators ,230,Other schools
Administration of human resource programs  ,9480,Education and childcare administrators ,230,Other schools
Administration of environmental quality and housing programs ,9490,Education and childcare administrators ,230,Other schools
Administration of economic programs and space research,9570,Education and childcare administrators ,230,Other schools
National security and international affairs ,9590,Education and childcare administrators ,230,Other schools
Crop production  ,170,Social and community service managers,420,Social service
Animal production and aquaculture,180,Social and community service managers,420,Social service
Forestry except logging ,190,Social and community service managers,420,Social service
Logging ,270,Social and community service managers,420,Social service
"Fishing, hunting and trapping ",280,Social and community service managers,420,Social service
Support activities for agriculture and forestry ,290,Social and community service managers,420,Social service
Oil and gas extraction ,370,Social and community service managers,420,Social service
Coal mining ,380,Social and community service managers,420,Social service
Metal ore mining ,390,Social and community service managers,420,Social service
Nonmetallic mineral mining and quarrying ,470,Social and community service managers,420,Social service
Not specified type of mining,480,Social and community service managers,420,Social service
Support activities for mining ,490,Social and community service managers,420,Social service
Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),770,Social and community service managers,420,Social service
"Animal food, grain and oilseed milling ",1070,Social and community service managers,420,Social service
Sugar and confectionery products ,1080,Social and community service managers,420,Social service
Fruit and vegetable preserving and specialty food manufacturing              ,1090,Social and community service managers,420,Social service
Dairy product manufacturing,1170,Social and community service managers,420,Social service
Animal slaughtering and processing ,1180,Social and community service managers,420,Social service
Retail bakeries ,1190,Social and community service managers,420,Social service
"Bakeries and tortilla manufacturing, except retail bakeries ",1270,Social and community service managers,420,Social service
"Seafood and other miscellaneous foods, n.e.c. ",1280,Social and community service managers,420,Social service
Not specified food industries,1290,Social and community service managers,420,Social service
Beverage manufacturing,1370,Social and community service managers,420,Social service
"Pulp, paper, and paperboard mills ",1870,Social and community service managers,420,Social service
Paperboard container manufacturing,1880,Social and community service managers,420,Social service
Miscellaneous paper and pulp products  ,1890,Social and community service managers,420,Social service
Printing and related support activities ,1990,Social and community service managers,420,Social service
Petroleum refining ,2070,Social and community service managers,420,Social service
Miscellaneous petroleum and coal products ,2090,Social and community service managers,420,Social service
"Resin, synthetic rubber, and fibers and filaments manufacturing   ",2170,Social and community service managers,420,Social service
Agricultural chemical manufacturing  ,2180,Social and community service managers,420,Social service
Pharmaceutical and medicine manufacturing,2190,Social and community service managers,420,Social service
"Paint, coating, and adhesive manufacturing ",2270,Social and community service managers,420,Social service
"Soap, cleaning compound, and cosmetics manufacturing ",2280,Social and community service managers,420,Social service
Industrial and miscellaneous chemicals ,2290,Social and community service managers,420,Social service
Plastics product manufacturing ,2370,Social and community service managers,420,Social service
Tire manufacturing ,2380,Social and community service managers,420,Social service
"Rubber products, except tires, manufacturing ",2390,Social and community service managers,420,Social service
"Pottery, ceramics, and plumbing fixture manufacturing  ",2470,Social and community service managers,420,Social service
Clay building material and refractories manufacturing,2480,Social and community service managers,420,Social service
Glass and glass product manufacturing ,2490,Social and community service managers,420,Social service
"Cement, concrete, lime, and gypsum product manufacturing ",2570,Social and community service managers,420,Social service
Miscellaneous nonmetallic mineral product manufacturing ,2590,Social and community service managers,420,Social service
Iron and steel mills and steel product manufacturing  ,2670,Social and community service managers,420,Social service
Aluminum production and processing  ,2680,Social and community service managers,420,Social service
Nonferrous metal (except aluminum) production and processing ,2690,Social and community service managers,420,Social service
Foundries ,2770,Social and community service managers,420,Social service
Metal forgings and stampings ,2780,Social and community service managers,420,Social service
Cutlery and hand tool manufacturing  ,2790,Social and community service managers,420,Social service
"Structural metals, and boiler, tank, and shipping container manufacturing ",2870,Social and community service managers,420,Social service
"Machine shops; turned product; screw, nut, and bolt manufacturing  ",2880,Social and community service managers,420,Social service
"Coating, engraving, heat treating, and allied activities ",2890,Social and community service managers,420,Social service
Ordnance ,2970,Social and community service managers,420,Social service
Miscellaneous fabricated metal products manufacturing             ,2980,Social and community service managers,420,Social service
Not specified metal industries,2990,Social and community service managers,420,Social service
"Construction, and mining and oil and gas field machinery manufacturing ",3080,Social and community service managers,420,Social service
Commercial and service industry machinery manufacturing,3095,Social and community service managers,420,Social service
Metalworking machinery manufacturing,3170,Social and community service managers,420,Social service
"Engine, turbine, and power transmission equipment manufacturing",3180,Social and community service managers,420,Social service
"Machinery manufacturing, n.e.c. or not specified",3291,Social and community service managers,420,Social service
Computer and peripheral equipment manufacturing,3365,Social and community service managers,420,Social service
"Communications, audio, and video equipment manufacturing",3370,Social and community service managers,420,Social service
"Navigational, measuring, electromedical, and control instruments manufacturing",3380,Social and community service managers,420,Social service
Household appliance manufacturing ,3470,Social and community service managers,420,Social service
"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",3490,Social and community service managers,420,Social service
Motor vehicles and motor vehicle equipment manufacturing ,3570,Social and community service managers,420,Social service
Aircraft and parts manufacturing,3580,Social and community service managers,420,Social service
Aerospace products and parts manufacturing ,3590,Social and community service managers,420,Social service
Railroad rolling stock manufacturing,3670,Social and community service managers,420,Social service
Ship and boat building ,3680,Social and community service managers,420,Social service
Other transportation equipment manufacturing,3690,Social and community service managers,420,Social service
Sawmills and wood preservation ,3770,Social and community service managers,420,Social service
"Veneer, plywood, and engineered wood products ",3780,Social and community service managers,420,Social service
Prefabricated wood buildings and mobile homes manufacturing,3790,Social and community service managers,420,Social service
Miscellaneous wood products ,3875,Social and community service managers,420,Social service
Medical equipment and supplies manufacturing,3960,Social and community service managers,420,Social service
Motor vehicle and motor vehicle parts and supplies merchant wholesalers,4070,Social and community service managers,420,Social service
Lumber and other construction materials merchant wholesalers ,4090,Social and community service managers,420,Social service
"Metals and minerals, except petroleum, merchant wholesalers                         ",4180,Social and community service managers,420,Social service
Household appliances and electrical and electronic goods merchant wholesalers ,4195,Social and community service managers,420,Social service
"Hardware, and plumbing and heating equipment, and supplies merchant wholesalers",4265,Social and community service managers,420,Social service
"Machinery, equipment, and supplies merchant wholesalers     ",4270,Social and community service managers,420,Social service
Paper and paper products merchant wholesalers ,4370,Social and community service managers,420,Social service
"Drugs, sundries, and chemical and allied products merchant  wholesalers ",4380,Social and community service managers,420,Social service
Grocery and related product merchant wholesalers ,4470,Social and community service managers,420,Social service
Farm product raw material merchant wholesalers ,4480,Social and community service managers,420,Social service
Petroleum and petroleum products merchant wholesalers ,4490,Social and community service managers,420,Social service
Alcoholic beverages merchant wholesalers ,4560,Social and community service managers,420,Social service
Farm supplies merchant wholesalers ,4570,Social and community service managers,420,Social service
Automobile dealers ,4670,Social and community service managers,420,Social service
"Automotive parts, accessories, and tire stores",4690,Social and community service managers,420,Social service
Household appliance stores ,4780,Social and community service managers,420,Social service
Electronics Stores,4795,Social and community service managers,420,Social service
Building material and supplies dealers  ,4870,Social and community service managers,420,Social service
Hardware stores ,4880,Social and community service managers,420,Social service
Lawn and garden equipment and supplies stores ,4890,Social and community service managers,420,Social service
Supermarkets and other grocery (except convenience) stores,4971,Social and community service managers,420,Social service
Convenience Stores,4972,Social and community service managers,420,Social service
Specialty food stores,4980,Social and community service managers,420,Social service
"Beer, wine, and liquor stores ",4990,Social and community service managers,420,Social service
Pharmacies and drug stores ,5070,Social and community service managers,420,Social service
Gasoline stations ,5090,Social and community service managers,420,Social service
Book stores and news dealers ,5370,Social and community service managers,420,Social service
"General merchandise stores, including warehouse clubs and supercenters ",5391,Social and community service managers,420,Social service
Florists,5470,Social and community service managers,420,Social service
Office supplies and stationery stores ,5480,Social and community service managers,420,Social service
Electronic shopping and mail-order houses,5593,Social and community service managers,420,Social service
Fuel dealers ,5680,Social and community service managers,420,Social service
Air transportation ,6070,Social and community service managers,420,Social service
Rail transportation ,6080,Social and community service managers,420,Social service
Water transportation ,6090,Social and community service managers,420,Social service
Truck transportation ,6170,Social and community service managers,420,Social service
Bus service and urban transit ,6180,Social and community service managers,420,Social service
Taxi and limousine service ,6190,Social and community service managers,420,Social service
Pipeline transportation ,6270,Social and community service managers,420,Social service
Services incidental to transportation ,6290,Social and community service managers,420,Social service
Postal Service ,6370,Social and community service managers,420,Social service
Couriers and messengers ,6380,Social and community service managers,420,Social service
Warehousing and storage ,6390,Social and community service managers,420,Social service
"Electric power generation, transmission and distribution",570,Social and community service managers,420,Social service
Natural gas distribution ,580,Social and community service managers,420,Social service
"Electric and gas, and other combinations ",590,Social and community service managers,420,Social service
"Water, steam, air-conditioning, and irrigation systems ",670,Social and community service managers,420,Social service
Sewage treatment facilities ,680,Social and community service managers,420,Social service
Not specified utilities ,690,Social and community service managers,420,Social service
Newspaper publishers,6470,Social and community service managers,420,Social service
Software publishers,6490,Social and community service managers,420,Social service
Broadcasting (except internet),6670,Social and community service managers,420,Social service
Internet publishing and broadcasting and web search portals,6672,Social and community service managers,420,Social service
Wired telecommunications carriers ,6680,Social and community service managers,420,Social service
"Telecommunications, except wired telecommunications carriers ",6690,Social and community service managers,420,Social service
"Data processing, hosting, and related services",6695,Social and community service managers,420,Social service
Libraries and archives,6770,Social and community service managers,420,Social service
"Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",6780,Social and community service managers,420,Social service
Banking and related activities,6870,Social and community service managers,420,Social service
"Savings institutions, including credit unions ",6880,Social and community service managers,420,Social service
Nondepository credit and related activities,6890,Social and community service managers,420,Social service
"Securities, commodities, funds, trusts, and other financial investments",6970,Social and community service managers,420,Social service
Insurance carriers,6991,Social and community service managers,420,Social service
"Agencies, brokerages, and other insurance related activities",6992,Social and community service managers,420,Social service
Automotive equipment rental and leasing ,7080,Social and community service managers,420,Social service
Legal services ,7270,Social and community service managers,420,Social service
"Accounting, tax preparation, bookkeeping, and payroll services",7280,Social and community service managers,420,Social service
Computer systems design and related services ,7380,Social and community service managers,420,Social service
Veterinary services ,7480,Social and community service managers,420,Social service
Management of companies and enterprises ,7570,Social and community service managers,420,Social service
Investigation and security services ,7680,Social and community service managers,420,Social service
Services to buildings and dwellings (except cleaning during construction and immediately after construction) ,7690,Social and community service managers,420,Social service
Landscaping services,7770,Social and community service managers,420,Social service
Waste management and remediation services ,7790,Social and community service managers,420,Social service
Elementary and secondary schools ,7860,Social and community service managers,420,Social service
Offices of physicians ,7970,Social and community service managers,420,Social service
Offices of dentists ,7980,Social and community service managers,420,Social service
Offices of chiropractors ,7990,Social and community service managers,420,Social service
Offices of optometrists ,8070,Social and community service managers,420,Social service
Offices of other health practitioners  ,8080,Social and community service managers,420,Social service
Outpatient care centers ,8090,Social and community service managers,420,Social service
Home health care services ,8170,Social and community service managers,420,Social service
Other health care services ,8180,Social and community service managers,420,Social service
"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals",8191,Social and community service managers,420,Social service
Psychiatric and substance abuse hospitals,8192,Social and community service managers,420,Social service
Nursing care facilities (skilled nursing facilities),8270,Social and community service managers,420,Social service
"Residential care facilities, except skilled nursing facilities",8290,Social and community service managers,420,Social service
Individual and family services ,8370,Social and community service managers,420,Social service
"Community food and housing, and emergency services ",8380,Social and community service managers,420,Social service
Vocational rehabilitation services ,8390,Social and community service managers,420,Social service
Child day care services ,8470,Social and community service managers,420,Social service
Traveler accommodation ,8660,Social and community service managers,420,Social service
Restaurants and other food services ,8680,Social and community service managers,420,Social service
Automotive repair and maintenance ,8770,Social and community service managers,420,Social service
Electronic and precision equipment repair and maintenance,8790,Social and community service managers,420,Social service
Commercial and industrial machinery and equipment repair and maintenance,8870,Social and community service managers,420,Social service
Drycleaning and laundry services ,9070,Social and community service managers,420,Social service
"Funeral homes, and cemeteries and crematories ",9080,Social and community service managers,420,Social service
Religious organizations ,9160,Social and community service managers,420,Social service
Private households ,9290,Social and community service managers,420,Social service
Executive offices and legislative bodies ,9370,Social and community service managers,420,Social service
Public finance activities ,9380,Social and community service managers,420,Social service
Other general government and support ,9390,Social and community service managers,420,Social service
"Justice, public order, and safety activities ",9470,Social and community service managers,420,Social service
Administration of human resource programs  ,9480,Social and community service managers,420,Social service
Administration of environmental quality and housing programs ,9490,Social and community service managers,420,Social service
Administration of economic programs and space research,9570,Social and community service managers,420,Social service
National security and international affairs ,9590,Social and community service managers,420,Social service
Crop production  ,170,School psychologists,1822,Other schools
Animal production and aquaculture,180,School psychologists,1822,Other schools
Forestry except logging ,190,School psychologists,1822,Other schools
Logging ,270,School psychologists,1822,Other schools
"Fishing, hunting and trapping ",280,School psychologists,1822,Other schools
Support activities for agriculture and forestry ,290,School psychologists,1822,Other schools
Oil and gas extraction ,370,School psychologists,1822,Other schools
Coal mining ,380,School psychologists,1822,Other schools
Metal ore mining ,390,School psychologists,1822,Other schools
Nonmetallic mineral mining and quarrying ,470,School psychologists,1822,Other schools
Not specified type of mining,480,School psychologists,1822,Other schools
Support activities for mining ,490,School psychologists,1822,Other schools
Construction,770,School psychologists,1822,Other schools
"Animal food, grain and oilseed milling ",1070,School psychologists,1822,Other schools
Sugar and confectionery products ,1080,School psychologists,1822,Other schools
Fruit and vegetable preserving and specialty food manufacturing              ,1090,School psychologists,1822,Other schools
Dairy product manufacturing,1170,School psychologists,1822,Other schools
Animal slaughtering and processing ,1180,School psychologists,1822,Other schools
Retail bakeries ,1190,School psychologists,1822,Other schools
"Bakeries and tortilla manufacturing, except retail bakeries ",1270,School psychologists,1822,Other schools
"Seafood and other miscellaneous foods, n.e.c. ",1280,School psychologists,1822,Other schools
Not specified food industries,1290,School psychologists,1822,Other schools
Beverage manufacturing,1370,School psychologists,1822,Other schools
"Pulp, paper, and paperboard mills ",1870,School psychologists,1822,Other schools
Paperboard container manufacturing,1880,School psychologists,1822,Other schools
Miscellaneous paper and pulp products  ,1890,School psychologists,1822,Other schools
Printing and related support activities ,1990,School psychologists,1822,Other schools
Petroleum refining ,2070,School psychologists,1822,Other schools
Miscellaneous petroleum and coal products ,2090,School psychologists,1822,Other schools
"Resin, synthetic rubber, and fibers and filaments manufacturing   ",2170,School psychologists,1822,Other schools
Agricultural chemical manufacturing  ,2180,School psychologists,1822,Other schools
Pharmaceutical and medicine manufacturing,2190,School psychologists,1822,Other schools
"Paint, coating, and adhesive manufacturing ",2270,School psychologists,1822,Other schools
"Soap, cleaning compound, and cosmetics manufacturing ",2280,School psychologists,1822,Other schools
Industrial and miscellaneous chemicals ,2290,School psychologists,1822,Other schools
Plastics product manufacturing ,2370,School psychologists,1822,Other schools
Tire manufacturing ,2380,School psychologists,1822,Other schools
"Rubber products, except tires, manufacturing ",2390,School psychologists,1822,Other schools
"Pottery, ceramics, and plumbing fixture manufacturing  ",2470,School psychologists,1822,Other schools
Clay building material and refractories manufacturing,2480,School psychologists,1822,Other schools
Glass and glass product manufacturing ,2490,School psychologists,1822,Other schools
"Cement, concrete, lime, and gypsum product manufacturing ",2570,School psychologists,1822,Other schools
Miscellaneous nonmetallic mineral product manufacturing ,2590,School psychologists,1822,Other schools
Iron and steel mills and steel product manufacturing  ,2670,School psychologists,1822,Other schools
Aluminum production and processing  ,2680,School psychologists,1822,Other schools
Nonferrous metal (except aluminum) production and processing ,2690,School psychologists,1822,Other schools
